[27-Nov-2024 19:22:36 UTC] PHP Warning:  Undefined array key 1 in C:\Users\User\Local Sites\ilorinchurch\app\public\wp-content\plugins\wordpress-importer\parsers\class-wxr-parser-regex.php on line 65
[02-Dec-2024 23:16:12 UTC] PHP Warning:  Attempt to read property "ID" on bool in C:\Program Files (x86)\Local\resources\extraResources\local-bootstrap.php on line 32
[02-Dec-2024 23:16:12 UTC] PHP Warning:  Attempt to read property "ID" on bool in C:\Program Files (x86)\Local\resources\extraResources\local-bootstrap.php on line 33
[02-Dec-2024 23:16:12 UTC] PHP Warning:  Attempt to read property "user_login" on bool in C:\Program Files (x86)\Local\resources\extraResources\local-bootstrap.php on line 35
[10-Dec-2024 10:03:47 UTC] PHP Warning:  Attempt to read property "ID" on bool in C:\Program Files (x86)\Local\resources\extraResources\local-bootstrap.php on line 32
[10-Dec-2024 10:03:47 UTC] PHP Warning:  Attempt to read property "ID" on bool in C:\Program Files (x86)\Local\resources\extraResources\local-bootstrap.php on line 33
[10-Dec-2024 10:03:47 UTC] PHP Warning:  Attempt to read property "user_login" on bool in C:\Program Files (x86)\Local\resources\extraResources\local-bootstrap.php on line 35
[10-Dec-2024 14:25:41 UTC] PHP Warning:  Undefined array key "editor_post_id" in C:\Users\User\Local Sites\ilorinchurch\app\public\wp-content\plugins\elementor-pro\modules\theme-builder\classes\conditions-manager.php on line 179
[10-Dec-2024 14:25:41 UTC] PHP Warning:  Undefined array key "editor_post_id" in C:\Users\User\Local Sites\ilorinchurch\app\public\wp-content\plugins\elementor\modules\history\revisions-manager.php on line 363
[10-Dec-2024 14:26:51 UTC] PHP Warning:  Undefined array key "editor_post_id" in C:\Users\User\Local Sites\ilorinchurch\app\public\wp-content\plugins\elementor-pro\modules\theme-builder\classes\conditions-manager.php on line 179
[10-Dec-2024 14:26:51 UTC] PHP Warning:  Undefined array key "editor_post_id" in C:\Users\User\Local Sites\ilorinchurch\app\public\wp-content\plugins\elementor\modules\history\revisions-manager.php on line 363
[12-Dec-2024 12:54:58 UTC] PHP Warning:  Attempt to read property "ID" on bool in C:\Program Files (x86)\Local\resources\extraResources\local-bootstrap.php on line 32
[12-Dec-2024 12:54:58 UTC] PHP Warning:  Attempt to read property "ID" on bool in C:\Program Files (x86)\Local\resources\extraResources\local-bootstrap.php on line 33
[12-Dec-2024 12:54:58 UTC] PHP Warning:  Attempt to read property "user_login" on bool in C:\Program Files (x86)\Local\resources\extraResources\local-bootstrap.php on line 35
[13-Dec-2024 21:33:56 UTC] Cron reschedule event error for hook: wp_privacy_delete_old_export_files, Error code: could_not_set, Error message: The cron event list could not be saved., Data: {"schedule":"hourly","args":[],"interval":3600}
[13-Dec-2024 21:34:04 UTC] PHP Warning:  Attempt to read property "ID" on bool in C:\Program Files (x86)\Local\resources\extraResources\local-bootstrap.php on line 32
[13-Dec-2024 21:34:04 UTC] PHP Warning:  Attempt to read property "ID" on bool in C:\Program Files (x86)\Local\resources\extraResources\local-bootstrap.php on line 33
[13-Dec-2024 21:34:04 UTC] PHP Warning:  Attempt to read property "user_login" on bool in C:\Program Files (x86)\Local\resources\extraResources\local-bootstrap.php on line 35
